Client,Project,Registered time,Billable time,Amount ()
,2.1 Udacity Practice,1:04:14,,
,2.2 Technical Blog Post 1,1:00:52,,
,2.3 Udacity Lesson 2,0:02:53,,
,Assignment 2.0 Udacity HTML & CSS,2:54:05,,
,,1:15:09,,
