Description,Duration
#3460 9.1 Git branching,00:13:18
#3536 0.1 Sprint Concepts,00:25:00
#3536 0.1 Sprint Concepts,00:10:02
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:18:03
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:25:00
#3441 9.2 Play with JavaScript ~ 6 hrs,00:17:04
#3441 9.2 Play with JavaScript ~ 6 hrs,00:10:04
#3422 9.3 Cultural Blog ~ 3.5 hrs,00:23:14
#3422 9.3 Cultural Blog ~ 3.5 hrs,00:25:00
#3422 9.3 Cultural Blog ~ 3.5 hrs,00:25:00
#3422 9.3 Cultural Blog ~ 3.5 hrs,00:24:34
#3441 9.2 Play with JavaScript ~ 6 hrs,00:57:00
#3403 9.4 Reflection ~ 45 mins,00:19:10
