Description,Start date,Start time,End date,End time,Duration
#2843 6.0 Minesweeper: and so it begins!,2017-03-27,13:02:46,2017-03-27,13:19:41,00:16:55
#2822 6.1 Minesweeper: objects and arrays,2017-03-27,13:20:59,2017-03-27,13:24:34,00:03:35
#2801 6.2 Minesweeper: counting the boom,2017-03-27,13:24:45,2017-03-27,13:49:45,00:25:00
#2801 6.2 Minesweeper: counting the boom,2017-03-27,13:49:49,2017-03-27,14:06:29,00:16:40
"#2780 6.3 Minesweeper: win some, lose some",2017-03-27,14:27:41,2017-03-27,14:27:44,00:00:03
"#2780 6.3 Minesweeper: win some, lose some",2017-03-27,14:27:44,2017-03-27,14:52:44,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-27,16:29:25,2017-03-27,16:54:25,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-27,16:54:27,2017-03-27,17:19:27,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-27,17:19:28,2017-03-27,17:30:15,00:10:47
#2759 6.4 Minesweeper: finishing touches,2017-03-28,10:44:16,2017-03-28,11:09:16,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,11:10:39,2017-03-28,11:35:39,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,11:35:43,2017-03-28,11:39:14,00:03:31
#2759 6.4 Minesweeper: finishing touches,2017-03-28,15:04:13,2017-03-28,15:29:13,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,15:29:14,2017-03-28,15:54:14,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,15:54:18,2017-03-28,16:19:18,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,18:55:12,2017-03-28,19:20:12,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,19:20:21,2017-03-28,19:45:21,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-28,19:45:23,2017-03-28,20:10:23,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-29,14:17:24,2017-03-29,14:42:24,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-29,14:58:43,2017-03-29,15:23:43,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-29,15:23:45,2017-03-29,15:48:45,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-29,15:48:49,2017-03-29,16:13:49,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,08:45:03,2017-03-31,09:10:03,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,09:10:07,2017-03-31,09:35:07,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,09:35:09,2017-03-31,10:00:09,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,10:00:10,2017-03-31,10:25:10,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,10:25:11,2017-03-31,10:50:11,00:25:00
#2759 6.4 Minesweeper: finishing touches,2017-03-31,10:50:12,2017-03-31,11:10:06,00:19:54
#2738 6.5 Technical Blog ~ 1 hr,2017-03-31,11:10:24,2017-03-31,11:35:24,00:25:00
#2738 6.5 Technical Blog ~ 1 hr,2017-03-31,11:35:28,2017-03-31,11:49:51,00:14:23
#2717 6.6 Cultural Blog ~ 1.5 hrs,2017-03-31,11:53:34,2017-03-31,12:18:34,00:25:00
#2717 6.6 Cultural Blog ~ 1.5 hrs,2017-03-31,12:18:37,2017-03-31,12:43:37,00:25:00
#2717 6.6 Cultural Blog ~ 1.5 hrs,2017-03-31,12:43:40,2017-03-31,13:08:40,00:25:00
#2717 6.6 Cultural Blog ~ 1.5 hrs,2017-03-31,13:08:43,2017-03-31,13:17:15,00:08:32
#2696 6.7 Reflection ~ 15 mins,2017-03-31,13:32:44,2017-03-31,13:51:49,00:19:05
#2906 0.2 Master your tools,2017-03-31,14:00:11,2017-03-31,14:09:23,00:09:12
