Description,Start date,Start time,End date,End time,Duration
#769 0.1 Sprint Concepts,27/02/2017,19:39:12,27/02/2017,19:39:19,0:00:07
#769 0.1 Sprint Concepts,27/02/2017,19:41:01,27/02/2017,19:53:23,0:12:22
#769 0.1 Sprint Concepts,27/02/2017,19:54:42,27/02/2017,20:19:42,0:25:00
#769 0.1 Sprint Concepts,27/02/2017,20:19:49,27/02/2017,20:44:49,0:25:00
#769 0.1 Sprint Concepts,27/02/2017,20:59:54,27/02/2017,21:15:38,0:15:44
#769 0.1 Sprint Concepts,27/02/2017,21:25:16,27/02/2017,21:50:16,0:25:00
#685 2.0 Udacity HTML and CSS Lesson 1,28/02/2017,14:50:52,28/02/2017,15:11:59,0:21:07
#685 2.0 Udacity HTML and CSS Lesson 1,28/02/2017,15:17:58,28/02/2017,15:42:58,0:25:00
#685 2.0 Udacity HTML and CSS Lesson 1,28/02/2017,15:43:05,28/02/2017,15:58:03,0:14:58
#685 2.0 Udacity HTML and CSS Lesson 1,28/02/2017,16:08:20,28/02/2017,16:33:20,0:25:00
#685 2.0 Udacity HTML and CSS Lesson 1,28/02/2017,16:37:37,28/02/2017,17:00:06,0:22:29
#685 2.0 Udacity HTML and CSS Lesson 1,1/03/2017,10:57:38,1/03/2017,11:22:38,0:25:00
#685 2.0 Udacity HTML and CSS Lesson 1,1/03/2017,11:31:47,1/03/2017,11:56:47,0:25:00
#685 2.0 Udacity HTML and CSS Lesson 1,1/03/2017,12:05:33,1/03/2017,12:30:33,0:25:00
#769 0.1 Sprint Concepts,1/03/2017,14:03:51,1/03/2017,14:28:51,0:25:00
#769 0.1 Sprint Concepts,1/03/2017,14:46:15,1/03/2017,14:55:15,0:09:00
#769 0.1 Sprint Concepts,1/03/2017,15:10:29,1/03/2017,15:35:29,0:25:00
#769 0.1 Sprint Concepts,1/03/2017,15:41:37,1/03/2017,16:06:37,0:25:00
#769 0.1 Sprint Concepts,1/03/2017,16:12:37,1/03/2017,16:37:37,0:25:00
#769 0.1 Sprint Concepts,1/03/2017,16:46:31,1/03/2017,17:11:31,0:25:00
#769 0.1 Sprint Concepts,2/03/2017,16:29:29,2/03/2017,16:54:29,0:25:00
#769 0.1 Sprint Concepts,2/03/2017,16:54:35,2/03/2017,17:03:25,0:08:50
#664 2.1 Udacity Practice,2/03/2017,17:03:21,2/03/2017,17:28:21,0:25:00
#664 2.1 Udacity Practice,2/03/2017,17:28:23,2/03/2017,17:53:23,0:25:00
#664 2.1 Udacity Practice,2/03/2017,17:53:45,2/03/2017,18:18:45,0:25:00
#664 2.1 Udacity Practice,2/03/2017,18:20:13,2/03/2017,18:45:13,0:25:00
#664 2.1 Udacity Practice,2/03/2017,18:46:14,2/03/2017,19:11:14,0:25:00
#664 2.1 Udacity Practice,4/03/2017,10:47:28,4/03/2017,10:58:30,0:11:02
#643 2.2 Technical Blog Part 1 (Udacity Reflection),4/03/2017,11:02:31,4/03/2017,11:27:31,0:25:00
#643 2.2 Technical Blog Part 1 (Udacity Reflection),4/03/2017,11:27:34,4/03/2017,11:52:34,0:25:00
#643 2.2 Technical Blog Part 1 (Udacity Reflection),4/03/2017,11:57:28,4/03/2017,12:22:28,0:25:00
#643 2.2 Technical Blog Part 1 (Udacity Reflection),4/03/2017,12:37:26,4/03/2017,13:02:26,0:25:00
#643 2.2 Technical Blog Part 1 (Udacity Reflection),4/03/2017,13:02:39,4/03/2017,13:11:17,0:08:38
#622 2.3 Udacity HTML and CSS Lesson 2,4/03/2017,13:54:11,4/03/2017,13:59:56,0:05:45
#601 2.4 Technical Blog Part 2 (Udacity Reflection),4/03/2017,14:01:51,4/03/2017,14:26:51,0:25:00
#601 2.4 Technical Blog Part 2 (Udacity Reflection),4/03/2017,14:26:55,4/03/2017,14:29:14,0:02:19
#580 2.5 Pay off some technical debt,4/03/2017,14:34:46,4/03/2017,14:59:46,0:25:00
#580 2.5 Pay off some technical debt,4/03/2017,14:59:48,4/03/2017,15:06:45,0:06:57
#559 2.6 Cultural Blog,4/03/2017,15:32:42,4/03/2017,15:57:42,0:25:00
#559 2.6 Cultural Blog,4/03/2017,16:17:43,4/03/2017,16:42:43,0:25:00
#559 2.6 Cultural Blog,4/03/2017,16:43:45,4/03/2017,17:08:45,0:25:00
#559 2.6 Cultural Blog,4/03/2017,17:38:53,4/03/2017,17:48:42,0:09:49
#538 2.7 Reflection,4/03/2017,17:53:38,4/03/2017,17:58:17,0:04:39
#538 2.7 Reflection,4/03/2017,18:08:03,4/03/2017,18:20:45,0:12:42
