Description,Start date,Start time,End date,End time,Duration
#926 3.0 Redesign Your Site - 1.5 hours,6/03/2017,11:57:27,6/03/2017,11:59:21,0:01:54
#1013 0.1 Sprint Concepts,6/03/2017,11:59:43,6/03/2017,12:03:34,0:03:51
#1013 0.1 Sprint Concepts,6/03/2017,16:21:14,6/03/2017,16:46:14,0:25:00
#1013 0.1 Sprint Concepts,6/03/2017,16:53:07,6/03/2017,17:18:07,0:25:00
#926 3.0 Redesign Your Site - 1.5 hours,6/03/2017,17:51:35,6/03/2017,18:16:35,0:25:00
#926 3.0 Redesign Your Site - 1.5 hours,6/03/2017,18:37:26,6/03/2017,18:44:59,0:07:33
#1013 0.1 Sprint Concepts,7/03/2017,16:14:38,7/03/2017,16:39:38,0:25:00
#1013 0.1 Sprint Concepts,7/03/2017,16:40:51,7/03/2017,16:56:33,0:15:42
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,16:56:57,7/03/2017,17:21:57,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,17:26:25,7/03/2017,17:51:25,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,17:51:47,7/03/2017,18:16:47,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,18:21:34,7/03/2017,18:21:38,0:00:04
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,18:23:11,7/03/2017,18:48:11,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,7/03/2017,18:48:13,7/03/2017,19:10:36,0:22:23
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,9:47:47,8/03/2017,9:55:04,0:07:17
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,9:56:21,8/03/2017,10:03:37,0:07:16
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,10:06:25,8/03/2017,10:25:02,0:18:37
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,12:04:17,8/03/2017,12:29:17,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,12:29:23,8/03/2017,12:54:23,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,12:57:37,8/03/2017,13:22:37,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,14:17:33,8/03/2017,14:42:33,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,14:42:37,8/03/2017,15:07:37,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,15:07:41,8/03/2017,15:32:41,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,15:34:31,8/03/2017,15:35:46,0:01:15
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,15:38:11,8/03/2017,16:02:09,0:23:58
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,16:05:55,8/03/2017,16:15:02,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,16:26:13,8/03/2017,16:51:13,0:25:00
#904 3.1 Build Your Redesigned Site - 6 hours,8/03/2017,16:51:16,8/03/2017,17:12:52,0:21:36
#882 3.2 Technical Blog,8/03/2017,17:13:22,8/03/2017,17:38:22,0:25:00
#882 3.2 Technical Blog,8/03/2017,17:38:27,8/03/2017,17:58:30,0:20:03
#882 3.2 Technical Blog,8/03/2017,18:12:37,8/03/2017,18:19:33,0:06:56
#860 3.3 Cultural Blog,9/03/2017,9:18:45,9/03/2017,9:43:45,0:25:00
#860 3.3 Cultural Blog,9/03/2017,9:45:40,9/03/2017,9:46:49,0:01:09
#860 3.3 Cultural Blog,9/03/2017,11:09:21,9/03/2017,11:18:22,0:09:01
#860 3.3 Cultural Blog,9/03/2017,11:30:06,9/03/2017,11:48:02,0:17:56
#860 3.3 Cultural Blog,9/03/2017,17:19:48,9/03/2017,17:44:48,0:25:00
#860 3.3 Cultural Blog,9/03/2017,17:51:18,9/03/2017,17:57:17,0:05:59
#860 3.3 Cultural Blog,9/03/2017,17:57:15,9/03/2017,18:22:15,0:25:00
#860 3.3 Cultural Blog,9/03/2017,18:28:42,9/03/2017,18:29:38,0:00:56
#860 3.3 Cultural Blog,9/03/2017,18:59:03,9/03/2017,18:59:09,0:00:06
#838 3.4 Reflection,9/03/2017,18:59:23,9/03/2017,19:14:42,0:15:19
#838 3.4 Reflection,9/03/2017,19:06:26,9/03/2017,19:29:20,0:22:54
#992 0.2 Master your tools,9/03/2017,19:29:44,9/03/2017,19:30:06,0:00:22
#992 0.2 Master your tools,9/03/2017,19:30:09,9/03/2017,19:45:43,0:15:34
#970 0.3 Accountability ~ 15 mins,9/03/2017,19:54:32,9/03/2017,20:05:04,0:10:32
