Description,Start date,Start time,End date,End time,Duration
#1234 0.1 Sprint Concepts,13/03/2017,12:41:03,13/03/2017,13:06:03,0:25:00
#1234 0.1 Sprint Concepts,13/03/2017,13:13:32,13/03/2017,13:38:32,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,13/03/2017,15:47:06,13/03/2017,16:12:06,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,13/03/2017,16:18:58,13/03/2017,16:24:54,0:05:56
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,14/03/2017,16:17:49,14/03/2017,17:47:49,1:30:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,14/03/2017,20:20:26,14/03/2017,20:45:26,0:25:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,14/03/2017,20:45:29,14/03/2017,21:10:29,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,15/03/2017,11:56:03,15/03/2017,12:21:03,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,15/03/2017,12:38:42,15/03/2017,13:03:42,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,15/03/2017,13:14:16,15/03/2017,13:39:16,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,15/03/2017,14:13:17,15/03/2017,14:40:46,0:27:28
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,16/03/2017,17:06:22,16/03/2017,17:10:31,0:04:09
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,16/03/2017,17:10:37,16/03/2017,17:35:37,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,16/03/2017,17:35:44,16/03/2017,18:00:44,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,9:20:43,18/03/2017,9:45:43,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,9:45:47,18/03/2017,9:45:59,0:00:12
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,10:49:46,18/03/2017,11:14:46,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,11:14:51,18/03/2017,11:39:51,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,11:39:53,18/03/2017,11:41:55,0:02:02
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,12:01:28,18/03/2017,12:26:28,0:25:00
#1146 4.1 JavaScript Basics Codecademy ~ 10 hrs,18/03/2017,12:36:12,18/03/2017,12:45:55,0:09:43
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,13:07:53,18/03/2017,13:32:53,0:25:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,13:33:00,18/03/2017,13:58:00,0:25:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,13:33:02,18/03/2017,13:33:06,0:00:04
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,13:58:03,18/03/2017,13:58:13,0:00:10
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,13:58:05,18/03/2017,14:23:05,0:25:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,14:23:06,18/03/2017,14:48:06,0:25:00
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,14:48:16,18/03/2017,14:51:10,0:02:54
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,14:48:17,18/03/2017,14:48:20,0:00:03
#1124 4.2 Free Code Camp Basic JavaScript ~ 7 hours,18/03/2017,15:25:41,18/03/2017,15:33:37,0:07:56
#1102 4.3 Technical Blog ~ 1 hr,18/03/2017,15:34:23,18/03/2017,15:59:23,0:25:00
#1102 4.3 Technical Blog ~ 1 hr,18/03/2017,15:59:25,18/03/2017,16:07:06,0:07:41
#1102 4.3 Technical Blog ~ 1 hr,18/03/2017,15:59:27,18/03/2017,16:06:46,0:07:19
#1080 4.4 Cultural Blog ~ 2 hrs,18/03/2017,16:07:02,18/03/2017,16:32:02,0:25:00
#1080 4.4 Cultural Blog ~ 2 hrs,18/03/2017,16:32:04,18/03/2017,16:57:04,0:25:00
#1080 4.4 Cultural Blog ~ 2 hrs,18/03/2017,16:32:05,18/03/2017,16:32:10,0:25:00
#1080 4.4 Cultural Blog ~ 2 hrs,18/03/2017,17:00:34,18/03/2017,17:14:47,0:14:13
#1080 4.4 Cultural Blog ~ 2 hrs,18/03/2017,17:14:47,18/03/2017,17:32:16,0:17:29
#1058 4.5 Reflection ~ 15 mins,18/03/2017,17:32:29,18/03/2017,17:46:52,0:14:23
